Name,Address,Coordinates,Type,District
Солнечный Город,"микрорайон Мамыр-4, 177","76.845308,43.214427",садик,Ауэзовский
Creative Kids,"микрорайон Мамыр-4, 220","76.853235,43.215003",садик,Ауэзовский
Harmony Kids,"микрорайон Таугуль-3, ул. Ахмета Адилова, 29","76.861915,43.203558",садик,Ауэзовский
Baby club 2,"микрорайон Мамыр-7, 8/4","76.837695,43.215504",садик,Ауэзовский
Азя,"Алатауский район, микрорайон Айгерим-2, ул. Нояна Байтенова, 129","76.837076,43.266472",садик,Ауэзовский
Balapanda,"ул. Адилова, 11","76.861567,43.206387",садик,Ауэзовский
Uniflexkids,"микрорайон Жетысу-2, 2А","76.841828,43.224383",садик,Ауэзовский
Sabi Land,"Наурызбайский район, ул. Рыскулова, 119","76.830860,43.188282",садик,Ауэзовский
Мамино счастье,"Наурызбайский район, микрорайон Калкаман-3, ул. Жакыпбаева, 14","76.828021,43.203640",садик,Ауэзовский
Lion Garden 2,"микрорайон Алмас, 57А","76.838776,43.207716",садик,Ауэзовский
I Abai,"микрорайон Мамыр-4, 75","76.851133,43.216970",садик,Ауэзовский
Дамира,"пер. С. Акатаева, 70","76.839623,43.276204",садик,Ауэзовский
I-sana,"микрорайон Таугуль-3, ул. Бикен Римовой, 11","76.860736,43.201312",садик,Ауэзовский
Нур бала,"микрорайон Таугуль-3, ул. Бекзата Саттарханова, 56","76.845458,43.198739",садик,Ауэзовский
Браво,"микрорайон Мамыр-4, 190","76.851040,43.216257",садик,Ауэзовский
Онер,"микрорайон Таугуль-3, ул. Калтая Мухамеджанова, 42","76.861439,43.195128",садик,Ауэзовский
Antaress Kids,"микрорайон Мамыр-4, 149","76.847758,43.215567",садик,Ауэзовский
Dara kids,"микрорайон Куаныш, 27","76.854302,43.208192",садик,Ауэзовский
Академия Маленьких Принцесс,"ул. Саяна Шаймерденова, 20","76.853453,43.200047",садик,Ауэзовский
Частный детский сад Тамирис,"ул. Кенесары хана, 116","76.861344,43.178860",садик,Ауэзовский
Микитоша,"ул. Азаттык, 11","76.850836,43.271531",садик,Ауэзовский
Карамелька,"микрорайон Мамыр-4, 145А","76.846400,43.214765",садик,Ауэзовский
Самурык,"Алатауский район, микрорайон Акбулак, ул. Касыма Шарипова, 83В","76.829965,43.257100",садик,Ауэзовский
Akadembala,"микрорайон Мамыр-4, 85А","76.850041,43.218102",садик,Ауэзовский
Алладин,"Алатауский район, микрорайон Самгау, ул. Кокшокы, 6","76.855851,43.270681",садик,Ауэзовский
Академбала,"микрорайон Мамыр-4, 83В","76.849112,43.217259",садик,Ауэзовский
Montekids,"ул. Кенесары хана, 143/1","76.870217,43.175684",садик,Ауэзовский
Alua,"Айгерім-1 шағын ауданы, 30","76.850594,43.264880",садик,Ауэзовский
Ordogen Kids,"микрорайон Мамыр-7, 21блокБ","76.840575,43.210591",садик,Ауэзовский
Ясли-сад,"1-й микрорайон, 64А","76.849558,43.232092",садик,Ауэзовский
Ажёк,"микрорайон Аксай-4, 16","76.836688,43.232157",садик,Ауэзовский
Мини сад Adalin,"ул. Толе би, 286/1","76.869629,43.247349",садик,Ауэзовский
Талшын,"Алматы, Наурызбайский район, микрорайон Карагайлы, улица Лесбека Сейитбекова, 43","76.845653,43.181034",садик,Ауэзовский
Mary Poppins,"ул. Кали Надырова, 98/1","76.844325,43.181919",садик,Ауэзовский
СадОк,"микрорайон Алмас, 172","76.842446,43.205044",садик,Ауэзовский
Зейн,"Алатауский район, микрорайон Акбулак, ул. Узака Багаева, 12","76.837821,43.253070",садик,Ауэзовский
Qazyna,"микрорайон Мамыр-4, 58","76.848918,43.216861",садик,Ауэзовский
Хотейка,"микрорайон Мамыр-4, 204","76.852181,43.215505",садик,Ауэзовский
Ибосик,"Алатауский район, микрорайон Айгерим-2, ул. Нояна Байтенова, 102","76.836212,43.270151",садик,Ауэзовский
Alina kids,"микрорайон Мамыр-4, 210","76.851652,43.214858",садик,Ауэзовский
Бал Сапар,"Алатауский район, микрорайон Акбулак, ул. Чуланова, 83","76.828287,43.253829",садик,Ауэзовский
Аяла,"микрорайон Мамыр-4, 36","76.845143,43.215397",садик,Ауэзовский
Alem Baby,"микрорайон Мамыр-4, 207","76.851428,43.215643",садик,Ауэзовский
Родничок-5,"Наурызбайский район, микрорайон Рахат, 8","76.862690,43.190628",садик,Ауэзовский
Воспитательно-Образовательный центр Акбота,"микрорайон Таугуль-3, ул. Дауленова, 100Б","76.850591,43.193562",садик,Ауэзовский
Саркыт,"Наурызбайский район, микрорайон Калкаман-3, 132","76.828067,43.201495",садик,Ауэзовский
Golden Kids World,"микрорайон Мамыр-4, 125","76.841593,43.214059",садик,Ауэзовский
Нур бала,"Алматы, Наурызбайский район, микрорайон Таусамалы","76.831102,43.189765",садик,Ауэзовский
Султан,"Алматы, Алатауский район, микрорайон Акбулак","76.829281,43.253008",садик,Ауэзовский
Акбота,"ул. Кали Надырова, 59","76.848745,43.178614",садик,Ауэзовский
Конжик,"микрорайон Мамыр-4, 148А","76.847004,43.215298",садик,Ауэзовский
Лаяна,"микрорайон Таугуль-3, ул. Мажекена Бутина, 5","76.856224,43.205004",садик,Ауэзовский
Kun ai,"ул. Саяна Шаймерденова, 27/33","76.855169,43.198599",садик,Ауэзовский
АйДиНур,"микрорайон Мамыр-4, 156","76.849837,43.216123",садик,Ауэзовский
Zere Kids,"Алатауский район, микрорайон Айгерим-2, ул. Текес, 13","76.834839,43.285023",садик,Ауэзовский
Ladushki Kids,"ул. Аманжол, 52","76.850814,43.208883",садик,Ауэзовский
Ашамай,"микрорайон Айгерим-1, ул. Ушкын, 32","76.843199,43.266984",садик,Ауэзовский
Эврика,"микрорайон Мамыр-4, 4Б","76.845943,43.217197",садик,Ауэзовский
Ясли-сад № 45,"ул. Кали Надырова, 120","76.849004,43.169553",садик,Ауэзовский
Monti Club,"Центральная ул., 153","76.864848,43.200890",садик,Ауэзовский
Детский сад № 165,"Алатауский район, микрорайон Улжан-1, ул. Кадыргали Жалайыри, 46","76.872124,43.299524",садик,Ауэзовский
Balapanym,"микрорайон Мамыр-4, 212","76.851782,43.214431",садик,Ауэзовский
Рауан,"Алматы, 103","76.843834,43.197589",садик,Ауэзовский
Детский сад № 170,"микрорайон Кокмайса, 22Б","76.902434,43.311055",садик,Ауэзовский
Рауан,"ул. Жанаарка, 25","76.868587,43.270962",садик,Ауэзовский
Үкі,"Алатауский район, микрорайон Шанырак-2, ул. Жалантос Бахадур, 47","76.846972,43.284522",садик,Ауэзовский
I Bibi,"микрорайон Мамыр-4, 75","76.851134,43.216933",садик,Ауэзовский
Bolashaq,"микрорайон Таугуль-3, Пролетарская ул., 15/2","76.844535,43.203596",садик,Ауэзовский
Nargiza & Co,"микрорайон Мамыр-4, 5, за кафе Тарым","76.840992,43.215095",садик,Ауэзовский
Fastrackids,"микрорайон Мамыр-4, 162","76.849077,43.215349",садик,Ауэзовский
Радуга,"ул. Толе би, 286/5, подъезд 1","76.868589,43.247525",садик,Ауэзовский
Ясли-сад № 193,"Наурызбайский район, ул. Санжар Жандосова, 2В","76.828905,43.187452",садик,Ауэзовский
Частный детский сад Теремок,"Тепличный пер., 1А","76.851470,43.208300",садик,Ауэзовский
Аянат,"Наурызбайский район, микрорайон Каргалы, ул. Туруспекова, 28","76.869371,43.179153",садик,Ауэзовский
Балапаным,"микрорайон Мамыр-4, 212","76.851865,43.214408",садик,Ауэзовский
Balalem,"микрорайон Мамыр-4, 121А","76.843338,43.217119",садик,Ауэзовский
Creative kids,"микрорайон Мамыр-4, 220","76.853251,43.215027",садик,Ауэзовский
Kindergarten Montessori,"Алатауский район, микрорайон Айгерим-2, ул. Уркер, 19","76.835051,43.268441",садик,Ауэзовский
Нуршашар,"Бостандыкский район, микрорайон Дарын, 7","76.865070,43.195358",садик,Ауэзовский
Ясли №164,"Алатауский район, микрорайон Шанырак-2, ул. Жанкожа батыра, 193","76.853289,43.306041",садик,Ауэзовский
Bilim brend,"микрорайон Мамыр-4, 117/2","76.845344,43.217628",садик,Ауэзовский
Ясли-сад № 161,"Алатауский район, микрорайон Шанырак-1, ул. Махамбета Утемисова, 109Б","76.860749,43.297771",садик,Ауэзовский
Antaress Kids 2,"микрорайон Алмас, 106","76.840016,43.205395",садик,Ауэзовский
Azalea,"Наурызбайский район, ул. Герольда Бельгера, 55","76.838525,43.195258",садик,Ауэзовский
KinderVille,"ул. Бесторе, 58","76.840749,43.271562",садик,Ауэзовский
Магжантай,"микрорайон Таугуль-3, ул. Турдыкуловой, 25","76.853151,43.194194",садик,Ауэзовский
Нурбопе,"Наурызбайский район, ул. Герольда Бельгера, 57/1","76.839255,43.195513",садик,Ауэзовский
Be Bright,"микрорайон Таугуль, ул. Рыскулбекова, 28/3, этаж цокольный","76.871693,43.203106",садик,Ауэзовский
Ай-Бека,"микрорайон Шапагат, ул. Тайконыр, 198А","76.890776,43.299657",садик,Ауэзовский
Disneyland,"Алматы, Наурызбайский район, микрорайон Рахат, улица Култобе, 16","76.865810,43.185466",садик,Ауэзовский
Айтумар,"Наурызбайский район, микрорайон Таусамалы, ул. Буланды, 69","76.833830,43.194132",садик,Ауэзовский
KinderVille,"Алатауский район, микрорайон Айгерим-2, ул. Жеруйык, 18","76.836093,43.274543",садик,Ауэзовский
Роза,"ул. Оспанхана Аубакирова, 118","76.848205,43.293715",садик,Ауэзовский
Нурлы Тан,"ул. Маулена Балакаева, 65","76.831990,43.201108",садик,Ауэзовский
Bigaisha,"Алматы, Алатауский район, микрорайон Ожет","76.889358,43.309204",садик,Ауэзовский
Alina kids,"микрорайон Мамыр-4, 210","76.851557,43.214851",садик,Ауэзовский
Уялы балапан,"Алматы, улица Азербаева","76.831173,43.205375",садик,Ауэзовский
Детский сад № 183,"Алатауский район, микрорайон Саялы, 48","76.839132,43.306145",садик,Ауэзовский
Дара бала,"Алатауский район, микрорайон Улжан-1, ул. Балтабай, 34","76.872318,43.306631",садик,Ауэзовский
Fastrackids,"Наурызбайский район, микрорайон Каргалы, ул. Жумекена Нажимеденова, 29","76.868551,43.171074",садик,Ауэзовский
Amirtai,"Алматы, микрорайон Айгерим-1","76.848896,43.275883",садик,Ауэзовский
Happyland,"микрорайон Айгерим-1, Степная ул., 11А","76.843256,43.272539",садик,Ауэзовский
Солнечный Город,"микрорайон Мамыр-4, 177","76.845319,43.214395",садик,Ауэзовский
I. Bala,"микрорайон Мамыр-4, 15","76.842643,43.215830",садик,Ауэзовский
Венера,"Алатауский район, микрорайон Айгерим-2, ул. Шаймухамеда Сапиева, 6","76.833650,43.283695",садик,Ауэзовский
Еркетай Умит 2,"Алатауский район, микрорайон Кок-Кайнар, ул. Азербайжана Мамбетова, 79","76.833826,43.288613",садик,Ауэзовский
I. Kids,"Алатауский район, микрорайон Айгерим-2, ул. Шынгыстау, 37","76.833143,43.276537",садик,Ауэзовский
Happy Kids,"ул. Балбырауын, 71, этаж 2","76.843154,43.184685",садик,Ауэзовский
Лоло,"микрорайон Мамыр-4, 13","76.842179,43.215688",садик,Ауэзовский
Али-Нур,"Алатауский район, микрорайон Акбулак, 27","76.836965,43.254652",садик,Ауэзовский
Ulan,"Алматы, 36Б","76.863842,43.192016",садик,Ауэзовский
Төре-Зере,"Алатауский район, микрорайон Айгерим-2, ул. Текес, 79","76.842588,43.285596",садик,Ауэзовский
Happyland-2,"микрорайон Таугуль-3, ул. Турдыкуловой, 41","76.850173,43.194547",садик,Ауэзовский
Nargiza & Co,"микрорайон Мамыр-4, 5","76.841011,43.215088",садик,Ауэзовский
Golden Kids World,"микрорайон Мамыр-4, 125","76.841567,43.214134",садик,Ауэзовский
Адина,"ул. Табигат, 1","76.899923,43.291288",садик,Ауэзовский
Abc+,"Алматы, Наурызбайский район","76.839248,43.194595",садик,Ауэзовский
Samruq Bala-1,"Алатауский район, микрорайон Улжан-1, ул. Егинсу, 19","76.874281,43.295400",садик,Ауэзовский
Торсык,"ул. Оспанхана Аубакирова, 124","76.848381,43.294345",садик,Ауэзовский
IBópe 3,"Алматы, Алатауский район, микрорайон Улжан-1, улица Кадыргали Жалайыри","76.867854,43.281242",садик,Ауэзовский
Шаңырақ,"Алатауский район, микрорайон Шанырак-1, ул. Махамбета Утемисова, 161Б","76.863027,43.304604",садик,Ауэзовский
Нұр Аи,"Алатауский район, микрорайон Шанырак-2, ул. Тойшыбек батыра, 68","76.849850,43.288837",садик,Ауэзовский
Балауса,"Алматы, 105","76.843374,43.197437",садик,Ауэзовский
Алдияр,"Алатауский район, микрорайон Кок-Кайнар, ул. Азербайжана Мамбетова, 184","76.847294,43.305160",садик,Ауэзовский
Акбота,"ул. Бабыра, 4","76.862390,43.292641",садик,Ауэзовский
Акбопе,"Алматы, улица Шугыла","76.838215,43.272012",садик,Ауэзовский
Балдәурен,"ул. Акбастау, 81","76.842996,43.301337",садик,Ауэзовский
АдиРай,"ул. Алпамыс Батыра, 125/1","76.858367,43.297945",садик,Ауэзовский
Інжу Baby Land,"Алатауский район, микрорайон Улжан-1, ул. Кадыргали Жалайыри, 52","76.872485,43.302715",садик,Ауэзовский
Нурислам,"Алатауский район, микрорайон Кок-Кайнар, ул. Жангельдина, 15","76.837247,43.288111",садик,Ауэзовский
Чудо сад,"Наурызбайский район, ул. Санжар Жандосова, 19","76.832870,43.187161",садик,Ауэзовский
Aizara,"Алатауский район, микрорайон Байбесик, ул. Байдибек би, 134","76.882535,43.307330",садик,Ауэзовский
Балапан,"ул. Василия Бенберина, 40","76.844229,43.273713",садик,Ауэзовский
Родничок-4,"микрорайон Айгерим-1, Набережная ул., 43","76.849096,43.269515",садик,Ауэзовский
Аян-Ай,"ул. Жидели, 42","76.854070,43.295890",садик,Ауэзовский
Алпамыс,"Алатауский район, микрорайон Улжан-2, ул. Ерменсай, 9/1","76.881020,43.303543",садик,Ауэзовский
Шанырак-2,"Алатауский район, микрорайон Шанырак-2, ул. Сабыра Рахимова, 67","76.852506,43.293149",садик,Ауэзовский
Нур-Даурен,"Алатауский район, микрорайон Шанырак-1, ул. Махамбета Утемисова, 26","76.864877,43.285936",садик,Ауэзовский
МұрагерKids,"Алатауский район, микрорайон Айгерим-2, ул. Сабетказы Акатаева, 1","76.840369,43.284757",садик,Ауэзовский
Ақ-Патша,"Алатауский район, микрорайон Улжан-2, ул. А. Бертайкызы, 109","76.880241,43.299079",садик,Ауэзовский
Молдир,"Алатау ауданы, Шаңырақ-2 шағын ауданы, 73/21","76.847567,43.289401",садик,Ауэзовский
"Zangar, детский сад","Алатауский район, микрорайон Шанырак-1, ул. Орбулак, 94","76.865444,43.311087",садик,Ауэзовский
Жан-уя Kids,"село Амангельды, 25","76.868562,43.171731",садик,Ауэзовский
Roza,"ул. Оспанхана Аубакирова, 118","76.848195,43.293694",садик,Ауэзовский
Мерей,"Алатауский район, микрорайон Айгерим-2, ул. Текес, 67","76.840499,43.285434",садик,Ауэзовский
Nur Kids,"Алатауский район, микрорайон Улжан-1, ул. Егинсу, 3","76.872972,43.295484",садик,Ауэзовский
Молдир 2,"Алатауский район, микрорайон Шанырак-2, ул. Жанкожа батыра, 61","76.850241,43.288069",садик,Ауэзовский
Дария Kids,"Алатауский район, микрорайон Шанырак-2, ул. Жанкожа батыра, 156","76.853295,43.301088",садик,Ауэзовский
"Ali-bi, частный детский сад","Алматы, Алатауский район, микрорайон Дархан, улица Н. Умурзакова, 91","76.878642,43.309573",садик,Ауэзовский
Ясли № 78,"Алатауский район, микрорайон Саялы, ул. Ак-Кайнар, 5","76.839879,43.311401",садик,Алатауский
Ясли-сад № 148,"Алатауский район, микрорайон Зердели, 371/2","76.826072,43.282414",садик,Алатауский
Детский сад № 95,"Алатауский район, ул. Суаткол, 39","76.814940,43.251187",садик,Алатауский
Bal-balam,"Алатауский район, микрорайон Акбулак, ул. Сейдоллы Байтерекова, 101","76.822041,43.262329",садик,Алатауский
Ясли-сад № 177,"Алатауский район, микрорайон Карасу, ул. Койтас, 255","76.901920,43.337440",садик,Алатауский
Детский сад Baby Center,"Алатауский район, ул. Талдыарал, 3","76.825458,43.246483",садик,Алатауский
Ясли-сад №1,"Алатауский район, микрорайон Ожет, ул. Ауэзова, 2","76.886060,43.318038",садик,Алатауский
Ясли сад № 37,"Алатауский район, микрорайон Нуркент, 13","76.813668,43.257212",садик,Алатауский
Ясли-сад № 168,"Алатауский район, микрорайон Дархан, ул. Халифы Алтая, 20/2","76.875177,43.312929",садик,Алатауский
Детский сад № 76,"ул. Актилек, 10","76.793813,43.246675",садик,Алатауский
ДуДарАй,"Алатауский район, микрорайон Акбулак, 6","76.825438,43.260979",садик,Алатауский
Акерке,"Алатауский район, микрорайон Акбулак, ул. Аблахата Еспаева, 80/1","76.827453,43.255833",садик,Алатауский
Балауса,"Алатауский район, микрорайон Дархан, ул. Заки Ахметова, 30","76.879513,43.315523",садик,Алатауский
Ясли-сад № 120,"Алатауский район, микрорайон Зердели, 1/35","76.820475,43.279736",садик,Алатауский
Арман,"Алатауский район, микрорайон Мадениет, ул. Шоган Абыз, 88","76.813666,43.337755",садик,Алатауский
Детский сад № 153,"Алатауский район, микрорайон Зердели, 1/33","76.819684,43.279092",садик,Алатауский
Ак-ку,"Алатауский район, микрорайон Карасу, 9","76.907902,43.328053",садик,Алатауский
Детский сад № 84,"Алатауский район, микрорайон Алгабас, ул. Алдияр, 16","76.799463,43.247438",садик,Алатауский
Детский сад,"Алматы, Алатауский район, микрорайон Саялы-2","76.841234,43.322552",садик,Алатауский
Бадауреншак,"Алатауский район, микрорайон Акбулак, 35","76.821699,43.259320",садик,Алатауский
Кошакан,"Алматы, Алатауский район, улица Хакимжана Наурызбаева, 35","76.811595,43.248842",садик,Алатауский
Детский сад № 150,"Алатауский район, микрорайон Аккент, 19А","76.818085,43.244693",садик,Алатауский
"Нұр-Раян-1, детский сад","Алматы, Алатауский район, микрорайон Дархан, улица Жазылбека Куанышбаева, 35","76.873719,43.314099",садик,Алатауский
Baby Балдаурен,"Алатауский район, микрорайон Акбулак, ул. Беделбай, 4","76.824756,43.244478",садик,Алатауский
Жан-бопе,"Алматы, Алатауский район, микрорайон Акбулак, улица Аблахата Еспаева, 80","76.827761,43.255862",садик,Алатауский
Нур-сет 1,"Алатауский район, микрорайон Мадениет, 9/1","76.817137,43.340785",садик,Алатауский
Нұр бөбегі,"Алматы, 17","76.816099,43.246339",садик,Алатауский
Tanzila,"Алатауский район, микрорайон Аккент, 44","76.813578,43.244953",садик,Алатауский
Лидер,"Алатауский район, микрорайон Акбулак, ул. Сейдоллы Байтерекова, 28","76.823431,43.256521",садик,Алатауский
Апельсин,"Карагандинская ул., 30","76.949498,43.319438",садик,Алатауский
Родничок-3,"Алатауский район, микрорайон Ожет, ул. Кабан жырау, 17","76.896760,43.327566",садик,Алатауский
Жан-Дария,"ул. Акшагыл, 23","76.843498,43.318688",садик,Алатауский
Бекасыл,"ул. Агайынды Кожыковтар, 85","76.893671,43.318244",садик,Алатауский
Айша,"Алатауский район, микрорайон Теректы, ул. Мектеп, 27","76.792221,43.244568",садик,Алатауский
Ясли-сад № 51,"ул. Есенова, 205А","76.951169,43.290740",садик,Алатауский
Altyn Sabi,"ул. Какена Аханова, 44/2","76.825037,43.265816",садик,Алатауский
Частный детский сад Ботакан,"Алатауский район, микрорайон Томирис, Центральная ул., 70/1","76.848711,43.323373",садик,Алатауский
Балдырган,"Алатауский район, микрорайон Улжан-1, ул. Кадыргали Жалайыри, 8/1","76.870184,43.292429",садик,Алатауский
Ясли-сад № 101,"микрорайон Айнабулак-2, 44","76.910739,43.315584",садик,Алатауский
Zere,"Алатауский район, микрорайон Мадениет, ул. Шоган Абыз, 26","76.807530,43.332490",садик,Алатауский
Bereke Kids,"Алатауский район, микрорайон Мадениет, 286/28","76.813192,43.337641",садик,Алатауский
Лаяна,"Алатауский район, микрорайон Карасу, ул. Койтас, 17","76.897545,43.337770",садик,Алатауский
I. Сәби,"Алатауский район, микрорайон Алгабас, ул. Бегазы, 1В","76.804717,43.241819",садик,Алатауский
Перiште,"ул. Жана Гасыр, 88Г","76.784431,43.250258",садик,Алатауский
Детский сад № 62,"микрорайон Аксай-3А, 72","76.826307,43.236611",садик,Алатауский
Sabi,"Алатауский район, микрорайон Акбулак, ул. Калжана Нурмаханова, 39","76.823817,43.264253",садик,Алатауский
BoBo,"Алматы, улица Акшагыл","76.843860,43.321371",садик,Алатауский
Султанкурган,"ул. Ильяса Омарова, 23А","76.927338,43.316516",садик,Алатауский
Детский сад,"посёлок Боралдай, микрорайон Водник-1, 51А/1","76.856340,43.369723",садик,Алатауский
Ясли-сад № 98,"микрорайон Айнабулак-2, 63","76.912925,43.317406",садик,Алатауский
Даулет,"Алатауский район, микрорайон Улжан-1, ул. Балтабай, 74","76.878009,43.305668",садик,Алатауский
Тарлан,"Тастөбе көшесі, 16","76.789383,43.237846",садик,Алатауский
Алгабас 2,"Алатауский район, микрорайон Алгабас, ул. Саттара Естемесова, 2","76.795726,43.248012",садик,Алатауский
Алгабас 2,"ул. Фаризы Онгарсыновой, 148/2","76.801780,43.253804",садик,Алатауский
Айголек-Ай,"посёлок Боралдай, ул. Карасай Батыра, 20","76.842222,43.372888",садик,Алатауский
Sabi,"Алатауский район, микрорайон Акбулак, 29","76.822254,43.258347",садик,Алатауский
Айзере-даму,"Алатауский район, микрорайон Дархан, ул. Заки Ахметова, 38","76.879955,43.314614",садик,Алатауский
БалДария,"ул. Фаризы Онгарсыновой, 185","76.802760,43.250772",садик,Алатауский
Алтын бесик,"микрорайон Алтын Бесик, 189","76.820620,43.234564",садик,Алатауский
Almasadam,"ул. Рудаки, 95","76.936932,43.306710",садик,Алатауский
Гусельки,"ул. Степана Разина, 94","76.942096,43.326053",садик,Алатауский
Адина,"ул. Адильбека Тауасарова, 68","76.895232,43.321510",садик,Алатауский
Түймеқыз,"Алатауский район, микрорайон Ожет, ул. Бекболата, 20А","76.887981,43.316605",садик,Алатауский
Ясли-сад № 65,"ул. Михаила Шолохова, 51","76.939488,43.338807",садик,Алатауский
Раяна-Н,"Алатауский район, микрорайон Зердели, 1/19","76.799473,43.248785",садик,Алатауский
Ясли-сад № 102,"микрорайон Айнабулак-3, 104А","76.920108,43.324626",садик,Алатауский
Mia Bambini,"Алатауский район, микрорайон Аккент, 23","76.816906,43.245794",садик,Алатауский
Адеми,"посёлок Боралдай, микрорайон Водник-3, 40","76.847931,43.365194",садик,Алатауский
Young Scholars Academy,"Алматы, Наурызбайский район, микрорайон Тулпар, Зелёная улица","76.796407,43.231108",садик,Алатауский
Ясли-Сад № 127,"ул. Дулатова, 33","76.940878,43.313708",садик,Алатауский
Хамза,"ул. Аркалык, 19/1","76.840931,43.316903",садик,Алатауский
Еркежан,"микрорайон Алтын Бесик, 223","76.823940,43.233771",садик,Алатауский
Акназар-1,"Алатауский район, ул. Хиуаз Доспановой, 45","76.814082,43.248231",садик,Алатауский
Sabi-bala,"Жетысуский район, микрорайон Кокжиек, 50А/1","76.924992,43.354317",садик,Алатауский
Ясли-сад № 114,"микрорайон Самал-2, 83","76.953866,43.231450",садик,Алатауский
Детский сад № 173,"Сельскохозяйственная ул., 21","76.941557,43.317946",садик,Алатауский
Ясли-Сад № 15,"ул. Тлеуберды Сауранбаева, 24","76.946112,43.330788",садик,Алатауский
Ясли-сад № 122,"ул. Успенского, 83","76.944362,43.302053",садик,Алатауский
Еламан,"ул. Р. Кошкарбаева, 40","76.897951,43.328136",садик,Алатауский
Layana,"Алатауский район, микрорайон Карасу, 9","76.897469,43.337812",садик,Алатауский
Коррекционный ясли-сад № 66 для детей с тяжелыми нарушениями речи,"микрорайон Аксай-3А, 71","76.826674,43.235652",садик,Алатауский
Ясли сад № 184,"Наурызбайский район, микрорайон Шугыла, 340/1","76.786008,43.211288",садик,Алатауский
Детский сад № 169,"Жетысуский район, микрорайон Кокжиек, 65","76.922511,43.356345",садик,Алатауский
Алпамыс,"микрорайон Айнабулак-3, 176Б","76.916051,43.323112",садик,Алатауский
Балдырган алеми,"Алатауский район, микрорайон Акбулак, ул. Сейдоллы Байтерекова, 36","76.823170,43.257149",садик,Алатауский
Лесная сказка,"Алматы, Турксибский район","76.944361,43.301043",садик,Алатауский
Куралай Kids,"Алатауский район, ул. Хиуаз Доспановой, 20","76.815488,43.246824",садик,Алатауский
Ясли № 70,"Стахановская ул., 19А","76.951331,43.320852",садик,Алатауский
Ясли-сад № 131,"Марийская ул., 3","76.937508,43.318340",садик,Алатауский
Алинур,"ул. Торебека Османова, 81","76.840120,43.340490",садик,Алатауский
Ясли-сад № 97,"микрорайон Айнабулак-1, 22Г","76.911180,43.320391",садик,Алатауский
Ясли-сад № 104,"микрорайон Айнабулак-4, 186","76.913025,43.324602",садик,Алатауский
Нур-Саби,"микрорайон Аксай-1А, 11В","76.826836,43.239902",садик,Алатауский
Айсултан,"Алатау, село Коянкус, ул. Жамбыла, 52Б","76.946265,43.391946",садик,Алатауский
Ясли-сад № 73,"Спасская ул., 42","76.947331,43.353574",садик,Алатауский
Ади-Нур,"село Аскара Токпанова, ул. Еламан Кабылдаева, 44","76.852645,43.381673",садик,Алатауский
Ясли № 128,"ул. Венеры, 26","76.934745,43.357606",садик,Алатауский
Royal Kids,"ул. Аркалык, 31","76.841164,43.318518",садик,Алатауский
Алтын балалар,"ул. Айбасова, 49","76.934551,43.315690",садик,Алатауский
"Медина, частный детский сад","ул. Квартал Жетысу, 105/1","76.787276,43.243026",садик,Алатауский
Болашак,"ул. Меруерт, 12","76.844647,43.336847",садик,Алатауский
Зайка,"микрорайон Баянаул, 56","76.821108,43.238234",садик,Алатауский
Baldyrgan shak,"ул. Нурсая, 10","76.948635,43.352533",садик,Алатауский
Дамеля,"Алатау, село Коянкус, ул. Жамбыла, 98","76.946744,43.403540",садик,Алатауский
Айдария,"ул. Сагдиева, 59","76.827739,43.188423",садик,Алатауский
Солнышко,"Алматы, микрорайон Кемел, ул. Жар-Жар, 69А","76.943704,43.373863",садик,Алатауский
Айкөркем,"ул. Акшагыл, 41","76.843011,43.321703",садик,Алатауский
Ясли сад № 171,"Жетысуский район, микрорайон Кокжиек, 67","76.923317,43.355728",садик,Алатауский
Инкар kids,"Алатауский район, микрорайон Теректы, 141","76.780904,43.240430",садик,Алатауский
Балдаурен,"посёлок Боралдай, Аэродромная ул., 3","76.860943,43.356984",садик,Алатауский
Белый лебедь,"Алматы, микрорайон Кемел, ул. Есим Хана, 193","76.948910,43.376274",садик,Алатауский
Умная Пчёлка,"посёлок Боралдай, ул. Суворова, 87","76.860819,43.358870",садик,Алатауский
Алем,"село Аскара Токпанова, 13-й квартал, 36","76.852681,43.405324",садик,Алатауский
Специальный детский сад для детей с тяжелыми нарушениями речи № 26,"микрорайон Айнабулак-3, 166Ак1","76.919140,43.325592",садик,Алатауский
Умка-Тумка,"ул. Ильяса Жансугурова, 203","76.933694,43.295739",садик,Алатауский
Ясли № 118,"просп. Сакена Сейфуллина, 187","76.939389,43.304119",садик,Алатауский
Медина,"посёлок Боралдай, ул. Бостанова, 1В","76.861805,43.350352",садик,Алатауский
Специальный (коррекционный) сад № 124 для детей с нарушениями зрения и речи,"просп. Назарбаева, 289А","76.953256,43.221141",садик,Алатауский
Детский сад,"ул. Аркалык, 76","76.841040,43.323313",садик,Алатауский
Балалар алеми,"Карагандинская ул., 9, этаж 2","76.952407,43.319041",садик,Алатауский
Ясли-сад № 162,"микрорайон Кулагер, 25А","76.921204,43.303790",садик,Алатауский
Бекося,"ул. Курты, 58","76.818240,43.349421",садик,Алатауский
Ясли-сад № 63,"ул. Шилова, 19","76.937696,43.291624",садик,Алатауский
Детский сад Балауса,"село Байкент, 7","76.809936,43.466438",садик,Алатауский
