Name,Address,Coordinates,Type,District
Da Vinci Kids,"Кашгарская ул., 81А","76.928959,43.239699",садик,Бостандыкский
Algabas,"ул. Озтюрка, 5А","76.907847,43.233433",садик,Бостандыкский
Super Kinder,"Бостандыкский район, микрорайон Нур Алатау, ул. Танжарика Жолдюлы, 14","76.911919,43.190026",садик,Бостандыкский
Детский сад № 7,"ул. Василия Клочкова, 26","76.901429,43.246248",садик,Бостандыкский
Детский сад Маленький гений,"микрорайон Баганашыл, Санаторная ул., 28","76.915596,43.201007",садик,Бостандыкский
Зайка,"ул. Серке Кожамкулова, 149","76.915655,43.256945",садик,Бостандыкский
Disneyland's,"Малая ул. Абая, 193","76.879085,43.238415",садик,Бостандыкский
Start line,"ул. Султанбека Ходжанова, 48Г","76.907190,43.208990",садик,Бостандыкский
Умка,"микрорайон Хан Тенгри, 70","76.894486,43.169384",садик,Бостандыкский
Ясли-сад № 6,"Алмалинский район, ул. Жамбыла, 176Г","76.908841,43.244304",садик,Бостандыкский
Зайка,"ул. Султанбека Ходжанова, 8/1, ЖК Rams Luxury, этаж 1","76.911907,43.208799",садик,Бостандыкский
Радость,"ул. Патшаим Тажибаевой, 180","76.891245,43.214142",садик,Бостандыкский
Ясли-сад № 96,"ул. Мукана Тулебаева, 62","76.948305,43.261286",садик,Бостандыкский
Алтын Уя,"просп. Ермека Серкебаева, 146/13","76.901560,43.200042",садик,Бостандыкский
Ас-Ман kids,"Бостандыкский район, микрорайон Нур Алатау, ул. Коксарай, 23","76.896273,43.189987",садик,Бостандыкский
Sabi,"ул. Абиша Кекилбайулы, 179","76.890996,43.199261",садик,Бостандыкский
Sabi,"ул. Манаша Козыбаева, 26","76.913590,43.211853",садик,Бостандыкский
Academkids,"ул. Шахмета Хусаинова, 198","76.892509,43.210419",садик,Бостандыкский
Ясли-сад №189,"ул. Каныша Сатпаева, 90/64","76.879934,43.229480",садик,Бостандыкский
Детский сад № 11,"ул. Шевченко, 162К","76.905831,43.242497",садик,Бостандыкский
Коррекционный ясли-сад № 54 для детей с тяжелыми нарушениями речи,"микрорайон Таугуль, 54","76.872289,43.212464",садик,Бостандыкский
Детский учебно-оздоровительный центр раннего развития и дошкольного воспитания Кайсар,"ул. Патшаим Тажибаевой, 176","76.891232,43.214523",садик,Бостандыкский
Little Bee,"ул. Шахмета Хусаинова, 190","76.892478,43.211511",садик,Бостандыкский
Super kinder,"Бостандыкский район, микрорайон Нур Алатау, ул. Нурлы Байкенова, 12","76.903536,43.182436",садик,Бостандыкский
