Name,Address,Coordinates
Клинико-диагностический центр,"ул. Ораза Жандосова, 6/3","76.910947,43.235251"
Алан,"ул. Есенова, 1, этаж 2","76.955353,43.264967"
"Городская поликлиника № 4, акушерско-гинекологическое отделение","микрорайон Орбита-3, 12А, этаж 1","76.876671,43.201721"
"Городской кардиологический центр, отделение эндоскопии и УЗИ","ул. Толе би, 93","76.928087,43.254019"
"Детская городская клиническая инфекционная больница, отделение для детей ДО 3-х месяцев","ул. Байзакова, 299А","76.912636,43.232488"
"Городской кардиологический центр, отделение рентгенхирургии","ул. Толе би, 93","76.928154,43.253941"
"Городской кардиологический центр, отделение аритмологии","ул. Толе би, 93","76.928126,43.253929"
"Городская больница № 7, сосудистая нейрохирургия","Наурызбайский район, микрорайон Калкаман, 20","76.799660,43.232119"
"Городской кардиологический центр, отделение платных услуг","ул. Толе би, 93","76.928133,43.253932"
"Центр детской неотложной медицинской помощи, отделение общей хирургии","ул. Манаса, 40","76.910181,43.233192"
Хирург Никонов И. О.,"бул. Бухар Жырау, 45/1, этаж 3, офис 313","76.914186,43.231920"
"Детская городская клиническая инфекционная больница, Боксовое отделение воздушно-капельных и нейроинфекций","ул. Байзакова, 299А","76.912676,43.232376"
"Центральная клиническая больница, соматическое отделение","ул. Панфилова, 139","76.944674,43.247167"
"Городской кардиологический центр, отделение анестезиологии и реанимации для кардиохирургических больных","ул. Толе би, 93","76.928128,43.253977"
"Центральная клиническая больница, рентгенологическое отделение","ул. Панфилова, 139","76.946037,43.246554"
"Центральная клиническая больница, офтальмологическое отделение","ул. Куляш Байсеитовой, 16","76.944546,43.247707"
"Центр детской неотложной медицинской помощи, Ожоговое отделение","ул. Манаса, 40","76.910939,43.231964"
"Центр детской неотложной медицинской помощи, отделение нейрохирургии","ул. Манаса, 40","76.910818,43.231978"
"Центр детской неотложной медицинской помощи, ГКП на Пхв, отделение офтальмологии","ул. Манаса, 40","76.910911,43.231931"
"Центральная клиническая больница, гинекологическое отделение","ул. Панфилова, 139","76.945788,43.246617"
"Городская поликлиника №29, платное отделение","Алатауский район, микрорайон Зердели, 371/3","76.825044,43.281260"
"Центральная клиническая больница, терапевтическое отделение","ул. Панфилова, 139","76.945717,43.247178"
"Центр детской неотложной медицинской помощи, ГКП на Пхв, отделение патологии новорожденных детей","ул. Манаса, 40","76.910867,43.231930"
"Центральная клиническая больница, отделение экстракорпоральной гемокоррекции","ул. Куляш Байсеитовой, 16","76.944610,43.247742"
